,Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,DistanceFromHome,PercentSalaryHike,NumCompaniesWorked,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
552,46,21740,23,12,6,11,3,9,1,3,0
553,38,66530,10,1,7,20,7,0,4,2,0
554,43,96990,18,8,5,19,8,1,3,1,0
555,39,67550,21,18,1,14,7,5,1,4,1
556,40,22130,21,20,1,17,1,9,3,3,0
557,21,26100,2,2,1,11,1,2,4,2,0
558,39,28510,9,5,6,15,9,3,3,2,0
559,36,34520,18,11,1,13,2,9,1,4,0
560,31,52580,3,2,7,14,0,2,3,4,0
561,28,93550,6,5,2,11,0,4,1,2,0
562,35,104960,5,5,9,13,1,2,4,4,0
563,49,63800,22,9,2,23,6,3,4,2,0
564,34,26570,5,3,9,13,2,2,4,3,0
565,29,27160,8,7,1,18,0,1,4,2,0
566,42,22010,16,1,21,12,4,0,2,4,0
567,29,65400,10,10,4,22,1,2,2,4,0
568,38,38160,7,7,1,13,1,0,3,3,0
569,28,52530,3,3,6,15,1,2,3,3,0
570,18,109650,0,0,2,18,1,0,3,3,1
571,33,49360,6,5,3,14,0,3,1,1,1
572,41,25430,6,1,4,12,3,0,2,4,0
573,31,53040,2,2,10,17,1,2,3,3,1
574,37,166590,10,6,23,16,7,3,3,4,0
575,27,42600,4,4,6,11,1,2,4,3,0
576,34,24760,6,6,1,19,1,3,2,3,0
577,35,31020,6,5,6,13,1,4,3,3,0
578,29,22440,11,11,6,12,1,10,4,1,1
579,40,75960,20,18,2,11,9,13,2,3,0
580,42,22850,22,21,2,16,0,14,3,1,1
581,42,30340,9,6,1,21,7,5,2,1,0
582,35,57150,10,8,5,24,6,7,4,3,0
583,24,25760,6,4,7,17,8,2,4,2,0
584,28,41970,1,1,15,13,1,0,3,4,1
585,26,143360,8,8,1,21,1,7,1,4,0
586,30,34480,10,10,7,11,1,4,3,4,0
587,40,194060,16,1,26,20,3,0,3,4,0
588,35,65380,15,7,18,16,2,4,3,2,0
589,34,43060,14,13,6,11,0,9,4,1,0
590,35,22580,2,2,3,11,1,2,4,4,0
591,43,45220,7,4,5,15,8,3,1,3,1
592,32,44870,1,1,11,11,1,0,3,1,0
593,56,44490,28,5,3,15,4,2,4,1,0
594,29,22180,10,10,26,24,1,8,2,4,0
595,19,191970,1,1,23,12,1,0,3,1,0
596,45,132120,7,3,22,13,4,2,1,3,0
597,37,65770,14,14,14,13,1,11,4,4,0
598,20,83920,2,2,6,17,1,2,1,3,0
599,44,45580,6,6,6,13,1,2,3,3,1
600,53,40310,26,7,6,12,3,7,4,3,0
601,29,79690,6,5,23,14,0,3,2,4,0
602,22,26540,1,0,22,24,0,0,3,4,1
603,46,165550,28,26,2,14,8,9,3,1,0
604,44,45560,6,0,20,13,2,0,4,3,0
605,33,60910,5,5,28,15,1,4,2,3,0
606,41,195660,5,1,12,16,6,0,1,1,1
607,30,48100,8,4,20,18,8,3,3,1,0
608,40,45230,5,0,9,16,5,0,2,2,0
609,50,32020,32,2,25,24,2,2,4,1,0
610,28,23510,6,6,6,16,1,3,4,1,0
611,46,17020,25,4,8,21,5,3,4,2,0
612,35,180410,15,7,4,20,3,7,3,1,0
613,24,28860,1,1,28,19,1,0,4,2,1
614,33,20970,10,10,9,14,1,1,2,3,0
615,36,119350,7,7,9,11,1,7,3,3,0
616,30,25460,10,10,29,14,1,9,3,3,0
617,44,25640,20,20,3,12,1,17,4,4,0
618,20,84120,2,2,18,13,1,2,3,4,0
619,46,141180,12,6,9,22,2,4,4,4,0
620,42,170460,10,4,5,11,7,3,4,1,0
621,60,25640,12,11,2,14,0,9,2,4,0
622,32,102660,2,2,10,11,1,2,3,2,0
623,32,50700,10,8,9,12,4,7,4,3,0
624,36,178610,17,7,3,18,2,7,3,1,0
625,33,42300,15,14,26,12,0,10,1,4,0
626,40,37800,7,5,1,12,7,3,2,2,0
627,25,27680,5,4,6,22,0,1,3,4,0
628,30,90710,12,11,9,19,0,7,4,2,0
629,42,106480,20,1,8,13,3,0,1,1,0
630,35,136100,16,13,1,22,4,12,3,4,0
631,27,34080,9,9,7,24,1,8,1,1,0
632,54,29830,33,5,9,14,7,4,4,3,0
633,44,76320,10,10,4,21,1,7,1,4,0
634,19,98240,1,1,2,18,1,0,1,2,1
635,29,99500,3,3,19,20,1,2,1,4,0
636,54,20930,36,10,9,19,3,9,4,4,0
637,31,99800,6,6,21,12,1,1,3,1,0
638,31,38940,10,10,24,12,1,8,3,1,0
639,59,40510,13,6,3,16,5,5,3,4,0
640,43,168350,25,8,11,17,3,7,3,4,0
641,49,62300,23,1,14,14,2,0,1,3,0
642,36,47170,12,11,5,19,1,7,3,2,0
643,48,132370,7,1,1,13,5,0,4,2,0
644,27,37550,5,5,6,19,1,3,1,3,0
645,29,65820,6,6,17,19,1,0,3,4,0
646,48,74060,25,1,1,14,6,0,4,4,0
647,29,48050,9,7,3,16,2,7,4,4,0
648,34,27410,2,1,9,15,0,0,3,3,0
649,44,42620,26,22,4,18,7,10,2,2,0
650,33,161840,10,9,8,13,0,8,4,3,0
651,19,115570,1,1,2,22,1,1,2,4,0
652,23,18780,1,1,2,13,1,1,4,3,0
653,25,109320,1,1,1,11,1,0,3,4,1
654,26,68110,8,8,9,11,1,2,3,4,0
655,45,43060,26,24,12,11,2,11,1,2,1
656,55,48590,34,33,27,24,1,0,4,2,0
657,21,53370,2,2,20,14,1,2,1,3,1
658,46,23400,26,11,1,13,2,8,4,2,0
659,34,74910,4,3,13,14,0,2,3,1,0
660,51,105270,31,29,14,14,4,10,4,2,0
661,59,165950,25,9,4,21,6,4,4,4,0
662,34,88340,15,11,14,13,4,10,3,2,0
663,28,55770,5,4,2,19,0,2,4,3,0
664,44,47070,26,25,3,17,1,13,3,1,0
665,34,24000,14,10,1,18,4,8,3,2,0
666,35,98240,4,3,9,19,0,2,3,3,0
667,42,64470,18,1,23,13,6,0,2,2,0
668,43,195020,23,21,7,18,3,17,4,4,0
669,36,27250,18,16,2,21,9,12,3,2,0
670,44,62720,10,10,21,19,1,5,1,4,1
671,28,21270,2,2,2,14,1,2,4,4,0
672,51,182000,8,7,21,17,0,7,2,3,0
673,30,20960,10,8,2,11,7,7,3,3,0
674,29,28860,10,7,29,13,3,7,2,3,1
675,28,20330,5,3,1,15,2,2,4,1,0
676,25,36220,2,2,18,25,1,1,4,2,0
677,32,42330,10,10,10,11,1,8,3,4,0
678,45,36810,22,0,19,17,3,0,3,2,0
679,39,54600,21,19,29,13,6,2,3,2,0
680,58,21870,2,2,27,18,1,2,1,3,0
681,32,96020,10,10,5,13,1,1,4,3,1
682,39,28360,6,5,18,20,0,3,3,1,1
683,30,40890,10,9,9,18,0,7,1,4,0
684,36,166270,10,7,1,12,3,7,4,3,0
685,46,26190,10,7,4,12,6,7,4,1,0
686,28,56790,10,9,1,13,0,5,3,4,0
687,50,154020,25,3,20,21,4,2,4,1,0
688,40,59850,9,5,8,13,2,0,4,2,1
689,52,25790,10,8,3,19,9,7,2,2,1
690,30,30410,9,9,6,11,1,8,2,1,0
691,39,34470,9,8,26,14,0,7,1,3,0
692,31,195130,10,10,1,12,1,6,4,3,0
693,41,27730,19,19,6,11,1,9,3,2,0
694,31,71040,3,3,3,14,1,2,4,2,1
695,44,63220,10,3,5,11,4,2,1,1,1
696,42,20830,21,20,4,12,0,10,3,3,0
697,55,83810,23,19,11,15,4,11,4,3,0
698,56,26910,36,7,3,16,6,7,4,2,0
699,40,42860,6,4,1,15,9,0,3,3,0
700,34,26590,10,9,3,24,0,6,4,4,0
701,40,94340,9,9,4,13,1,8,3,4,0
702,41,55610,10,9,1,11,0,7,3,1,0
703,35,66460,9,9,1,13,1,1,3,3,0
704,51,77250,33,33,18,13,1,10,3,2,0
705,38,107250,11,7,2,18,3,7,2,1,0
706,34,88470,10,10,4,16,1,6,3,1,0
707,25,20450,7,3,6,19,3,2,4,4,0
708,58,10090,31,10,1,13,7,9,3,1,1
709,40,33480,7,4,14,22,3,3,2,2,0
710,36,12810,17,15,16,11,2,13,1,1,0
711,48,28190,11,10,2,20,1,8,4,4,0
712,27,48510,5,1,2,18,8,0,3,4,0
713,51,40280,29,5,4,14,3,3,4,2,0
714,18,27200,0,0,1,22,1,0,4,4,0
715,35,81200,10,9,1,13,0,0,4,4,0
716,27,46470,8,6,26,17,3,0,4,4,0
717,55,46800,24,19,19,14,6,8,1,3,1
718,56,32210,33,19,24,15,4,9,4,2,0
719,34,86210,5,5,1,17,1,0,1,3,0
720,40,45770,15,12,3,11,5,8,2,3,0
721,34,45530,10,8,5,18,4,7,2,3,0
722,31,53960,3,1,2,17,7,0,3,4,1
723,35,67960,5,4,1,13,0,2,4,3,1
724,38,76250,4,4,7,15,1,3,4,3,0
725,34,74120,14,14,10,24,1,11,3,4,0
726,28,111590,5,5,2,12,1,4,3,1,0
727,31,49600,10,10,15,15,1,7,4,3,1
728,39,104750,8,5,17,11,3,4,1,4,0
729,51,148140,14,4,20,11,2,2,2,2,0
730,41,191410,12,6,1,12,3,3,4,4,0
731,37,54050,8,6,2,15,7,3,3,3,0
732,33,87930,8,5,2,17,6,2,2,4,0
733,32,191890,4,3,1,12,0,2,3,2,0
734,39,38750,13,6,29,15,3,5,3,3,0
735,25,22160,6,3,7,13,2,2,1,3,0
736,52,117130,24,5,2,14,2,2,4,3,0
737,43,78610,20,20,2,14,1,8,1,3,0
738,27,37080,6,6,2,16,1,4,4,4,0
739,27,137700,8,8,2,18,1,7,4,3,1
740,26,53040,5,4,2,20,0,1,1,4,0
741,42,26420,21,20,23,13,0,9,3,1,0
742,52,27590,12,5,5,18,9,4,3,1,0
743,37,68040,8,3,20,13,4,2,1,3,0
744,35,61420,10,2,6,15,2,2,3,4,0
745,25,25000,7,3,1,14,4,2,1,4,0
746,26,63890,8,7,29,22,0,7,3,1,0
747,29,111030,10,10,9,12,1,9,2,1,0
748,49,23420,20,4,6,18,3,3,1,1,1
749,29,68110,9,8,3,15,0,7,3,4,1
750,54,22970,29,20,1,18,6,7,4,4,0
751,58,24500,32,9,22,12,3,5,4,1,0
752,55,50930,31,7,7,16,2,0,2,4,0
753,36,53090,15,5,1,13,3,1,1,2,0
754,31,30570,1,1,4,19,1,0,2,3,1
755,30,51210,8,3,3,13,7,2,4,1,0
756,31,168560,9,3,1,12,3,0,1,2,0
757,34,26860,10,4,2,11,5,3,4,1,0
758,31,61800,1,1,20,14,1,0,1,2,1
759,27,66320,6,5,11,16,0,4,2,1,0
760,36,35050,10,10,1,12,1,8,1,4,0
761,36,63970,11,3,24,14,4,2,3,1,0
762,47,62740,17,6,23,14,7,2,1,4,0
763,25,198590,6,3,16,19,3,2,1,1,1
764,37,75870,7,6,8,22,0,3,3,3,0
765,56,42580,5,3,10,16,2,0,1,1,0
766,47,43640,26,20,3,11,3,6,1,3,0
767,24,43350,5,5,5,15,1,3,4,3,0
768,32,53260,7,4,4,14,4,3,4,4,0
769,34,32800,7,5,9,13,5,2,4,2,0
770,41,54850,7,4,26,17,2,3,2,3,0
771,40,43420,11,8,3,11,3,7,3,3,0
772,31,27820,13,13,16,19,1,9,1,4,0
773,46,59800,28,7,18,11,4,3,1,4,1
774,39,43810,11,1,2,15,2,0,1,1,1
775,31,25720,10,10,2,13,1,7,3,2,1
776,45,38330,24,7,10,14,2,7,2,1,0
777,31,42440,8,3,16,13,9,2,4,2,0
778,31,65000,7,2,7,23,6,2,2,4,1
779,45,184300,10,3,1,12,4,2,2,4,0
780,48,16010,15,2,24,12,4,2,3,1,0
781,34,26940,2,2,7,16,1,2,1,3,1
782,40,31490,16,9,25,15,2,8,4,2,0
783,28,176390,6,5,1,13,0,3,4,1,0
784,44,23190,7,5,5,18,3,3,3,3,0
785,53,116910,35,9,2,20,4,8,4,2,0
786,49,53240,20,3,7,19,2,2,1,3,0
787,40,167520,8,3,2,18,2,2,3,3,0
788,44,52280,6,5,5,13,1,3,4,2,0
789,33,27000,5,4,10,14,0,3,4,1,0
790,34,192460,15,13,10,15,3,12,4,1,0
791,30,25060,4,2,1,22,8,2,4,3,0
792,42,60620,12,12,8,22,1,8,1,4,0
793,44,43820,11,1,5,16,7,0,1,3,0
794,30,21430,1,1,8,17,1,0,3,3,0
795,57,61620,13,12,2,14,0,8,2,3,0
796,49,50940,29,8,7,15,3,7,3,2,0
797,34,68770,16,14,2,20,7,9,2,1,0
798,28,22740,5,3,2,20,3,2,1,3,1
799,29,44340,7,5,28,17,2,0,1,2,1
800,34,62880,16,15,7,15,0,10,1,2,1
801,35,25530,1,1,7,14,1,0,4,3,0
802,24,76540,4,0,3,17,2,0,2,1,1
803,24,51600,1,1,10,17,1,0,4,2,0
804,44,171590,16,2,5,22,5,2,2,3,0
805,29,128080,10,10,10,13,1,4,3,3,0
806,30,102210,6,5,1,19,0,3,3,3,0
807,55,47790,4,3,20,14,0,2,4,3,0
808,33,37370,8,5,7,22,8,2,1,2,0
809,47,23660,11,5,8,17,3,2,3,3,0
810,28,17060,8,0,1,12,7,0,3,1,1
811,28,163070,1,1,8,16,1,0,1,3,0
812,28,59330,5,4,9,11,0,3,3,1,0
813,49,34240,10,3,5,11,4,2,3,1,0
814,29,40370,4,3,8,14,0,2,4,2,0
815,28,25590,8,8,5,11,1,7,3,2,0
816,33,62010,14,0,15,15,2,0,4,3,0
817,32,44030,10,5,7,20,2,0,3,4,0
818,54,37610,26,14,10,12,3,12,2,4,0
819,29,109340,11,9,5,17,6,7,1,1,1
820,44,107610,24,20,26,11,3,17,4,1,0
821,39,51750,9,2,6,17,4,2,2,2,0
822,46,138260,23,13,4,11,8,1,3,2,0
823,35,63340,11,11,23,14,1,3,4,2,0
824,23,49360,5,4,2,19,0,2,1,3,0
825,40,47750,15,5,2,15,3,0,4,1,1
826,34,28180,10,10,2,13,1,6,4,3,0
827,31,25150,7,7,29,14,1,7,4,3,1
828,50,23420,32,32,6,12,1,9,3,4,0
829,34,41940,12,11,25,17,0,7,2,3,0
830,42,106850,4,1,1,11,4,0,3,2,0
831,37,20220,10,10,2,12,1,7,1,4,0
832,29,23140,9,7,1,13,3,7,3,1,0
833,33,42560,5,5,1,13,1,2,4,2,0
834,45,35800,8,5,3,20,4,3,4,4,0
835,42,31620,24,20,1,17,2,9,4,4,0
836,40,65240,9,8,10,13,0,1,1,1,0
837,33,28990,15,15,9,17,1,7,2,3,0
838,40,52310,21,21,5,12,1,7,3,4,0
839,24,23560,2,1,10,13,0,0,3,1,0
840,40,28000,8,2,7,12,3,2,4,4,0
841,45,118360,10,10,4,22,1,7,1,2,0
842,35,109030,6,5,10,11,0,2,2,3,0
843,32,29730,12,7,22,22,3,5,4,2,0
844,36,142750,7,3,9,18,3,2,3,4,0
845,48,55620,18,8,12,13,8,7,3,3,0
846,29,45370,5,1,23,18,6,0,3,3,0
847,33,76420,8,2,9,20,2,2,1,1,0
848,30,179240,10,10,1,13,1,7,2,1,1
849,38,52040,10,6,9,13,3,2,3,3,0
850,35,22770,3,3,7,12,1,2,4,1,0
851,30,27950,9,4,14,13,3,3,3,2,0
852,35,25320,1,1,2,13,1,0,1,1,1
853,53,25590,34,33,19,25,0,9,3,4,1
854,38,49080,7,5,2,19,4,4,3,2,1
855,32,23800,9,6,10,13,4,2,4,1,0
856,48,47650,10,8,2,12,8,6,3,1,0
857,34,20440,1,1,3,11,1,0,1,4,0
858,55,26930,36,36,11,18,1,13,3,4,0
859,34,65860,9,2,2,18,9,1,2,4,0
860,26,32940,1,1,4,11,1,0,1,4,0
861,38,41710,10,9,14,23,0,7,3,2,0
862,38,27780,8,3,2,13,2,2,2,2,0
863,36,23770,15,1,1,13,6,0,2,3,0
864,29,24040,10,10,10,17,1,5,2,1,0
865,35,23180,10,5,12,19,3,4,1,3,0
866,39,20080,11,7,2,12,2,6,4,3,0
867,29,62440,6,6,5,22,1,3,1,4,0
868,50,27990,27,1,4,12,4,0,3,3,0
869,23,105520,4,2,7,11,2,2,4,3,0
870,36,23290,9,3,21,15,3,2,1,1,0
871,42,40140,24,1,8,13,8,1,4,4,0
872,35,74030,10,10,4,12,1,8,2,3,0
873,34,22590,8,8,25,14,1,7,4,3,0
874,40,69320,5,5,1,13,1,2,4,1,0
875,43,46780,8,6,1,25,5,2,4,2,0
876,35,135820,1,1,6,17,1,1,3,4,0
877,46,23320,27,26,12,11,1,12,4,1,0
878,28,24130,1,1,1,16,1,0,3,2,1
879,22,97050,4,4,17,18,1,3,2,3,0
880,50,42940,32,30,3,20,2,13,2,3,0
881,32,47210,6,3,3,14,3,2,2,4,0
882,44,25190,23,22,10,21,0,10,2,4,0
883,30,21210,6,6,4,13,1,1,2,2,0
884,45,29730,10,10,29,12,1,4,3,1,0
885,45,58550,10,10,2,14,1,5,1,1,0
886,31,36170,10,5,7,21,7,3,4,1,0
887,36,67250,7,3,18,17,9,1,3,3,0
888,34,103250,9,9,28,11,1,2,3,4,0
889,49,69490,10,9,1,14,1,4,3,1,0
890,39,106090,10,7,6,17,2,7,2,1,0
891,27,44470,7,7,2,13,1,7,4,1,0
892,35,21570,16,16,2,25,1,10,2,1,0
893,28,46010,6,5,23,15,0,0,2,1,0
894,21,170990,3,2,3,14,1,2,3,4,0
895,18,24790,0,0,3,12,1,0,2,4,1
896,47,148520,27,5,25,19,3,0,4,3,0
897,39,72640,11,10,2,17,0,7,3,3,0
898,40,56660,18,18,22,14,1,12,1,3,0
899,35,78230,15,14,29,13,1,9,3,3,0
900,37,78800,9,4,29,12,3,2,3,3,0
901,39,131940,10,9,2,11,0,8,1,3,0
902,45,50670,10,10,28,11,1,9,4,4,0
903,38,50790,10,5,2,11,3,2,4,3,0
904,35,23210,15,13,2,12,9,0,4,1,1
905,37,174440,8,8,22,14,1,7,2,2,0
906,40,24040,18,4,8,17,6,3,3,4,0
907,44,34520,14,10,2,11,4,2,1,4,0
908,48,22700,23,2,10,14,2,2,3,4,0
909,35,173990,7,2,9,12,6,2,3,4,1
910,24,54880,6,6,15,22,1,3,1,4,0
911,27,194190,5,3,10,14,7,2,2,3,0
912,27,28110,6,4,7,20,2,2,4,4,0
913,40,36330,10,4,16,16,3,3,1,1,1
914,29,41630,8,5,20,15,9,4,3,3,0
915,36,21320,9,3,23,20,4,2,2,1,0
916,25,139730,7,7,5,14,1,7,4,3,0
917,39,26840,7,5,10,12,4,0,4,2,0
918,49,108450,27,4,4,24,3,2,1,2,0
919,50,43770,19,14,2,12,5,11,4,1,0
920,20,37430,2,2,18,13,1,2,3,3,0
921,34,41480,11,11,10,11,1,9,4,2,0
922,36,10510,15,4,1,14,2,3,1,2,0
923,49,107390,30,15,6,11,2,12,3,3,0
924,36,103880,4,3,8,14,0,2,4,3,0
925,36,114160,13,5,2,16,6,4,4,1,0
926,54,26000,36,10,24,14,3,7,2,3,0
927,43,24220,14,14,2,11,1,11,3,3,0
928,35,54720,13,11,17,11,3,7,4,4,1
929,38,24510,19,13,19,12,7,9,4,4,0
930,29,42400,10,10,1,14,1,9,1,2,0
931,33,109990,6,6,7,18,1,4,4,4,0
932,32,50030,10,9,5,13,2,6,4,2,0
933,31,127420,10,10,28,11,1,2,1,4,0
934,49,42270,17,2,2,18,4,2,4,1,0
935,38,39170,4,4,29,15,1,3,4,2,0
936,47,183030,29,3,1,22,6,2,2,2,0
937,49,23800,23,8,21,13,4,0,3,3,0
938,41,137260,21,2,24,12,3,2,4,3,0
939,20,47770,2,2,1,18,1,2,4,1,0
940,33,63850,7,6,18,13,1,2,3,4,0
941,36,199730,10,3,2,12,6,2,1,3,0
942,44,68610,8,2,9,12,4,2,3,4,0
943,23,49690,5,5,6,12,1,2,4,3,1
944,38,198450,7,0,11,11,7,0,4,3,0
945,53,133200,11,4,24,11,3,2,2,4,0
946,48,63470,19,9,10,12,2,7,4,3,1
947,32,27430,1,1,1,19,1,0,4,2,1
948,26,108800,7,7,18,23,1,7,4,4,0
949,55,23420,8,4,23,11,5,2,1,2,0
950,34,176500,15,15,28,19,1,13,2,4,0
951,60,40250,19,1,17,13,3,0,3,4,0
952,33,97250,14,14,3,11,1,13,2,2,0
953,37,119040,6,6,13,12,1,3,3,4,0
954,34,21770,10,10,7,13,1,7,2,4,0
955,23,75250,3,3,12,14,1,2,3,4,1
956,44,48340,9,8,1,14,1,7,3,4,0
957,35,20420,6,5,13,16,0,4,1,4,0
958,43,22200,10,10,25,11,1,8,4,4,0
959,24,10520,5,5,6,13,1,4,3,3,0
960,41,28210,10,10,6,17,1,7,4,3,0
961,29,192370,9,5,2,11,9,2,4,3,0
962,36,41070,17,13,1,11,3,7,3,4,0
963,45,83960,25,23,2,15,3,4,3,3,0
964,24,20070,1,1,6,12,1,0,4,3,1
965,47,196270,25,23,1,11,7,10,3,3,1
966,26,106860,3,3,9,14,1,2,4,3,0
967,45,29420,21,21,1,22,1,6,4,2,0
968,32,88580,10,5,1,16,6,3,1,3,0
969,31,167560,6,5,14,11,1,3,2,3,0
970,41,107980,10,3,2,14,6,2,3,2,0
971,40,23230,18,1,22,16,2,0,2,1,0
972,24,14160,6,6,3,15,1,2,2,1,0
973,46,46150,19,10,6,12,6,9,3,2,0
974,35,24610,17,7,8,20,2,7,4,3,0
975,30,87220,10,10,9,17,1,8,2,4,0
976,47,39550,4,1,3,12,7,0,3,2,0
977,46,99570,13,10,1,20,4,3,3,4,0
978,36,33760,16,2,1,20,5,2,2,1,1
979,32,88230,10,0,26,13,6,0,1,2,1
980,23,103220,3,3,6,14,1,2,3,2,0
981,31,46210,9,5,3,18,2,4,4,4,0
982,39,109760,9,9,3,11,1,8,4,4,0
983,32,36600,10,4,6,11,3,2,4,3,0
984,40,104820,21,21,6,11,1,8,2,2,0
985,45,71190,9,5,19,15,4,3,3,3,0
986,30,95820,10,9,9,12,0,7,4,1,0
987,24,45080,3,2,3,11,0,1,1,4,0
988,30,22070,6,4,10,14,6,2,3,4,1
989,31,77560,6,5,3,15,1,2,1,3,0
990,27,66940,6,6,3,13,1,4,3,4,0
991,29,36910,2,2,4,13,1,2,2,2,1
992,29,23770,10,3,8,21,8,2,4,3,0
993,30,23130,12,7,7,11,2,7,3,1,0
994,34,176650,6,5,1,11,0,2,4,4,0
995,33,25960,13,11,2,14,8,7,4,2,0
996,49,47280,8,5,3,11,3,4,4,4,0
997,33,43020,11,0,10,13,2,0,1,1,1
998,38,29790,9,6,28,12,4,5,3,2,0
999,31,168850,10,1,9,14,2,0,1,3,1
1000,29,55930,1,1,3,13,1,0,4,1,0
1001,30,104450,10,7,2,18,3,7,3,3,0
1002,32,87400,12,7,10,11,2,7,2,2,0
1003,38,25140,15,1,8,11,3,0,2,4,0
1004,43,76550,6,1,1,12,9,0,3,3,1
1005,42,174650,7,5,1,13,8,4,2,2,0
1006,55,73510,34,1,3,20,8,0,3,1,0
1007,33,108200,11,9,14,12,5,7,4,2,0
1008,41,121690,5,5,5,19,1,4,3,1,0
1009,34,196260,15,15,7,21,1,7,4,3,0
1010,53,20700,27,3,10,13,4,2,1,3,0
1011,43,67820,10,9,16,16,0,8,2,4,0
1012,34,77790,6,2,10,12,5,2,4,4,0
1013,21,27910,1,1,1,14,1,0,2,2,1
1014,38,32010,5,5,8,11,1,4,4,3,0
1015,22,49680,1,1,1,14,1,0,3,1,1
1016,31,131200,13,12,8,12,1,7,1,4,0
1017,51,40330,15,2,1,14,2,2,1,3,0
1018,37,32910,5,5,24,16,1,3,2,2,0
1019,46,42720,24,2,3,13,7,2,3,4,0
1020,36,50560,15,12,27,12,7,7,4,1,0
1021,44,28440,6,5,10,12,1,3,3,2,1
1022,37,27030,19,10,19,14,2,7,3,2,0
1023,35,19040,10,10,15,22,1,7,3,4,1
1024,33,82240,14,10,8,19,6,6,4,1,0
1025,28,47660,5,5,9,12,1,3,3,4,0
1026,39,26100,9,4,3,12,7,2,3,3,0
1027,46,57310,6,2,9,17,8,2,2,2,0
1028,40,25390,7,4,2,12,4,2,3,1,0
1029,42,57140,10,0,7,11,5,0,2,1,0
1030,35,43230,15,7,10,18,2,7,2,4,0
1031,38,73360,13,11,6,11,5,8,1,2,0
1032,34,134990,11,7,2,23,4,7,4,1,1
1033,37,137580,10,10,24,11,1,8,4,1,1
1034,39,51550,7,2,2,18,2,2,3,4,0
1035,43,22580,7,3,8,18,4,2,1,3,0
1036,41,35970,11,3,3,13,3,2,2,2,0
1037,41,25150,23,22,1,18,0,5,3,3,0
1038,30,44200,9,7,26,11,9,2,1,3,0
1039,26,65780,6,5,2,15,0,4,4,2,1
1040,46,44220,13,9,10,11,4,7,4,2,1
1041,40,102740,12,5,27,18,4,3,3,4,0
1042,34,53430,10,10,2,14,1,8,2,3,0
1043,58,23760,37,16,2,12,4,14,2,2,0
1044,35,53460,6,5,8,14,0,3,2,3,0
1045,47,28270,28,22,19,14,8,10,3,2,0
1046,40,199430,15,7,1,13,2,7,2,1,0
1047,54,31310,14,7,27,14,4,7,4,4,0
1048,31,25520,9,3,8,18,2,2,1,1,0
1049,28,44770,3,3,1,15,1,2,3,1,0
1050,38,64740,20,4,19,13,2,3,2,4,0
1051,26,30330,5,5,8,12,1,2,3,4,0
1052,58,29360,23,2,10,13,2,2,1,3,0
1053,18,186060,0,0,2,24,1,0,2,3,0
1054,31,21680,2,1,2,14,0,0,4,1,1
1055,29,28530,4,2,8,14,4,0,1,1,1
1056,45,170480,10,8,1,15,4,7,3,3,0
1057,36,22900,15,1,2,11,4,0,4,2,0
1058,43,36000,7,7,8,23,1,7,1,4,0
1059,27,21070,6,5,8,13,0,2,4,4,0
1060,29,41150,11,11,6,11,1,10,4,4,0
1061,32,43270,4,0,9,13,8,0,4,4,0
1062,42,178560,10,6,11,18,3,3,3,3,0
1063,47,31960,7,2,2,14,4,0,2,3,0
1064,46,190810,12,9,1,21,3,7,4,4,0
1065,28,89660,3,3,7,16,1,2,3,4,0
1066,29,22100,11,7,16,11,8,6,4,3,0
1067,42,45390,8,0,2,17,4,0,4,3,0
1068,32,27410,7,2,1,11,7,2,3,2,1
1069,46,34910,25,19,23,14,2,8,1,1,0
1070,27,45410,9,9,2,14,1,8,2,3,0
1071,29,26780,1,1,1,25,1,0,4,2,0
1072,43,73790,21,16,1,13,7,14,1,3,0
1073,48,62720,29,22,2,14,4,9,4,2,0
1074,29,52200,1,1,13,17,1,0,4,4,1
1075,46,27430,14,8,4,25,5,7,3,2,1
1076,27,49980,8,7,16,20,0,3,4,1,0
1077,39,102520,7,2,2,13,8,2,3,4,0
1078,55,27810,19,5,2,13,8,4,2,4,0
1079,28,68520,1,1,29,18,1,0,2,2,0
1080,30,49500,1,1,12,12,1,0,2,4,1
1081,22,35790,1,1,16,19,1,0,4,2,1
1082,36,131910,10,10,11,14,1,7,2,3,0
1083,31,103770,10,10,2,14,1,2,2,3,0
1084,34,22350,9,5,14,14,2,0,3,4,0
1085,29,105020,11,3,5,12,3,2,4,1,0
1086,37,20110,16,5,7,13,5,4,4,1,0
1087,35,18590,4,3,2,25,0,2,4,2,0
1088,45,37600,10,9,3,14,0,8,2,4,0
1089,36,177790,10,10,5,17,1,8,2,4,0
1090,40,68330,22,19,3,13,2,16,1,1,0
1091,26,68120,1,1,26,13,1,0,2,3,0
1092,27,51710,9,8,4,20,0,7,1,3,0
1093,48,197400,24,22,2,14,3,7,4,4,0
1094,44,187110,10,2,1,12,2,2,2,1,0
1095,34,36920,5,5,27,12,1,0,4,1,1
1096,56,25590,5,4,1,21,1,0,1,4,1
1097,36,25170,12,4,13,14,2,3,3,2,0
1098,41,66230,14,5,5,18,5,4,3,2,0
1099,42,182650,18,13,7,12,9,7,3,1,0
1100,31,161240,8,5,9,23,2,4,3,4,0
1101,34,25850,9,4,8,12,3,1,4,4,0
1102,31,182130,4,2,25,21,8,2,1,3,0
